domain_name,app_name,developer,email,price,last_update,category,size,number_of_installs,version,compatibility,maturity_rating,app_store_purchases,rating,number_of_ratings,five_star,four_star,three_star,two_star,one_star,link,description,release_text
com.roar.liveTraffic.liveTrafficTorontoFree,Traffic Cam Toronto Free,RoarApps,roarapps@gmail.com,Free,15 December 2014,Transport,Varies with device,"10,000 - 50,000",Varies with device,Varies with device,Everyone,n/a,4.3,382,216,109,29,10,18,https://play.google.com/store/apps/details?id=com.roar.liveTraffic.liveTrafficTorontoFree,"NOW INCLUDES ALL TORONTO 400 HIGHWAY CAMS TOO! ONLY app that includes ALL cameras covering the Toronto region. Traffic web cams for commuters in the entire Toronto Region, Canada. Ready to head home and you want to check the traffic? Live Traffic Toronto is the fastest way to get to the traffic web cams that matter to you. Instead of browsing to a web site and working your way through the menus and map graphics to find a web camera just open Live Traffic Toronto on your android and go straight to the camera you want with one click. Navigate through the other cameras along your route, in order, with a simple Next button. Should I stay or should I go? The traffic is slowing to a crawl. Is it going to clear quickly or is it time to bail and find a better route? Open Live Traffic Toronto, select the nearest camera with one click and then navigate through the web cams along your route to see how far the congestion continues. Cameras are provided courtesy of the City of Toronto. Individual cameras may be inoperative due to weather conditions or maintenance requirements.","v1.4.0 Updated look and feel v1.30 -Fixed images being too small on some devices. It should now stretch to fill the width of the phone. v.1.21 Huge update on the cameras, includes highway 400. Let me know if there are any missing :)"
de.appsfactory.pixi.einschlafbuch,Pixi-Book “Sleepytime Book”,Carlsen Verlag GmbH,apps@carlsen.de,$2.80,24 September 2013,Books & Reference,Varies with device,"500 - 1,000",Varies with device,Varies with device,Everyone,n/a,3.4,7,3,1,0,2,1,https://play.google.com/store/apps/details?id=de.appsfactory.pixi.einschlafbuch,The best-selling Pixi Books as an app! Nominated for the AKEP (Best Performance in Electronic Publishing) Award! BILINGUAL: German and English!! -great fun reading and listening -many funny animations -witty sound effects -captions can be switched on or off -Picture Puzzle -Pixi Hobby Tip! -Pixi-App Bonus: an extra soundtrack for children and adults to record their own story! One after the other the tired animals go to sleep. Good night!,null
com.icecoldapps.sshserverpro,SSH Server Pro,Ice Cold Apps,android@icecoldapps.com,$2.59,7 January 2013,Tools,1.5M,"1,000 - 5,000",3.1,2.1 and up,Unrated,n/a,4.5,80,52,23,0,3,2,https://play.google.com/store/apps/details?id=com.icecoldapps.sshserverpro,"A complete SSHd, SFTP, SCP and Telnet server! From now on you can run a complete SSH daemon (server) with support for multiple users, public key authentication, and you can even set a directory per user for SFTP and SCP. NO ROOT is required, but if you do have a rooted device you can run SSH as super user if you want. The shell will only work on ARM devices, however, the SFTP and SCP servers will work on all devices. Note 1. To run on ports below 1024 search for Android app Port Forwarder Ultimate. Note 2. If you find a bug or have a problem please contact us by email since we cannot help you if you post it in the reviews. And we haven’t mentioned all yet; you can even set a dynamic DNS updater! So you can always access your device from everywhere, even if the IP changed! It also has extensive logging functionality, and you can even set the app to email you the log automatically! Features summary: - SSH has support for SFTP and SCP - For SSH, SFTP and SCP multiple users can be set with each their own root directory, password, public key (RSA or DSA), allow X11 or agent forwarding, allow inbound/outbound connections, optional write permission and optional force stay in root directory - For Telnet you can add multiple users and run Telnet through SSL/TLS with your own certificate or our certificate - Set your own shell start command and arguments (advanced) - Start/Stop a server automatically when connected/disconnected from a specified WIFI network, or on boot - Verbose log (filter, email, etc) - Optionally only allow specified IP addresses to access - Add a Dynamic DNS Updater using the local or public IP of your device - The servers can be accessed from the web (for example through your 3G connection) if supported by your mobile network All features: - Add multiple SSH (SSHd, SSH daemon) or Telnet servers - For every SSH Server you can set name, port, multiple users, only access from certain IP addresses, vibrate on a new connection, enable logging, only log errors, start the server when connected to a specific WIFI network and disconnect when the WIFI network is lost, start on boot, max auth attempts, authorization timeout, idle timeout, max concurrent sessions (per user) - For every user set the username, password, public key, X11 / agent forwarding, inbound / outbound connections, document root, force stay in document root, allow write access - For every Telnet server you can set multiple users or even enable SSL/TLS with your own certificate or our certificate - Add multiple dynamic DNS updaters (set a custom URL, or choose from ChangeIP, DNSdynamic, DNSexit, DNSMadeEasy, DNS-O-Matic, DNSPark, DtDNS, DynDNS, easyDNS, eNom, HE.net, Joker, Namecheap, No-IP, ZoneEdit) - For every dynamic DNS updater set the name, timeout (in minutes), hostname, username, password and whether to update with the local or public IP address, start the Dynamic DNS Updater when connected to a specific WIFI network, update on connectivity change, start on boot - On the settings page of the app you can set the maximum log items to keep, whether to keep a WIFI lock (prevent WIFI from disconnecting automatically), keep the device alive, keep the device alive full (keep the screen on, battery intensive), set to start the app on boot - You can search/filter the log, or set it to be automatically sent when the log limit is reached For questions, comments or feature requests just contact us! Visit us on: http://www.icecoldapps.com/ Follow us on Twitter: https://twitter.com/IceColdApps Like us on Facebook: http://www.facebook.com/IceColdApps",- for users added public key authentication (RSA or DSA/DSS) - for users allow agent/X11 forwarding or inbound/outbound connections - set timeouts for idle andauthorization and/or set max authorization attempts and max concurrent sessions per user - and we fixed some bugs
com.mtvn.DrawAndPlayGoogleTablet,Nick Jr Draw & Play HD,Nickelodeon,appsupport@nickjr.com,$5.51,10 October 2014,Education Creativity,752M,"1,000 - 5,000",0.8,3.0 and up,Everyone,n/a,4.4,66,47,9,3,2,5,https://play.google.com/store/apps/details?id=com.mtvn.DrawAndPlayGoogleTablet,"Time to get creative! Kids can team up with Dora the explorer, Diego, Team Umizoomi, and the Bubble Guppies to create amazing artwork with Nick Jr Draw and Play! Nick Jr Draw and Play combines intuitive and easy to use drawing, coloring and painting tools with a set of magical effects that kids can use to create amazing artwork! Animated stickers, magic wands, spinning splatter-tops, fireworks, bouncing balls and surprise blocks go together to make interactive creations that they can play with again and again. Nick Jr Draw and Play also includes stickers, backgrounds, surprise blocks and fireworks! Guided-play activities include Picture ideas, and parents can share their child’s artwork via email and Facebook. Features: • Easy to use interface with 8 different brushes for drawing and painting • Animated Stickers • Fireworks, Splatter Tops, Magic Wands and Surprise Blocks to create amazing effects in your pictures • Picture ideas to help jump-start your child's imagination • Animated Tutorials • Parental Controls Download Nick Jr. Draw and Play now so your kids can get creative with their Nick Jr. friends! Having trouble with Nick Jr Draw & Play or just have a question? Check out the Support page! http://ads.nickjr.com/appsupport Nick Jr. Draw & Play HD collects personal user data as well as non- personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; personalize content and advertising; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of personal user data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Google, Inc., and Nickelodeon and its affiliated entities are not responsible for Google's collection or use of your personal user data and information. Use of this app is subject to the Nickelodeon End User License Agreement. Privacy Policy http://www.nickjr.com/about/privacy-policy.html End User License Agreement http://www.nick.com/info/eula.html Customer Support http://ads.nickjr.com/appsupport",Performance Enhancements
com.jb.gokeyboard.theme.tmekeyboardandcolor,Keyboard and Color,T-Me Design Studio,wedesignthemes@gmail.com,Free,31 March 2016,Personalisation,4.5M,"100,000 - 500,000",4.172.46.80,4.0 and up,Everyone,n/a,3.9,"2,904","1,650",378,259,146,471,https://play.google.com/store/apps/details?id=com.jb.gokeyboard.theme.tmekeyboardandcolor,"Our very talented design team came up with a brand new display theme , created especialy for you : KEYBOARD AND COLOR ! DOWNLOAD NOW Keyboard and color and make your smartphone look like a funky rainbow party you will enjoy to see every time you pick up your phone ! - For installation , follow steps 3 thesis : open after download , press "" Set as Active Theme"" and select the theme from the following page ! - The amazing HD screenshots prepared we will show you just how incredible this theme will look on your smartphone keyboard ! - This theme uses GO Keyboard , so if you do not have it installed , you will be redirected to a download page ! - The menus for this theme come with 48 different language translations so you can enjoy it anywhere you come from ! If you liked it , take the time to RATE and COMMENT after you install ! Also , contact us at wedesignthemes@gmail.com with any suggestions or questions you have and keep visiting to see our latest releases and surprises ! This theme uses a freefont All which can be found at http://fontfabric.com/hero-free-font/ and a freevector All which can be found at http://www.vectorbg.net/colourful-glowing-wires- background /",* We added beautiful widgets * Some bug fixing * App speed improved
air.anyume3year,3才の子のための動く絵本,ゆめある,blueartweb@gmail.com,Free,14 October 2014,Education,10M,"5,000 - 10,000",1.2,2.3 and up,Everyone,n/a,3.3,15,4,3,4,2,2,https://play.google.com/store/apps/details?id=air.anyume3year,"3才のこども向けの優しい動く絵本作品集です。 親子仲良くよんで、幸せな気持ちになろう！ 動く絵本のサイト「ゆめがあるなら」 第1回 3才のためのお話投稿コンテストの作品集です。 【収録作品】 「おやすみなさい」 とても優しい気持ちになれる「おやすみなさい」です。 「なっちゃんのふとん」 なっちゃんのやさしいこころに、大人も和みますね。お子様と一緒に和んでください！ 「みんなでひるね」 みーんなで、一緒におひるね。とーっても幸せな気分になるね。 「むずむず　はくしょん」 いろんな「はくしょん」。お子さんと一緒に「はくしょん」と言いながら楽しく読んでください。 注意：adobe AIRのインストールが必要です。 インストールされていない場合は画面にしたがってインストールしてください。 ※「5才の子のためのメルヘンチックな動く絵本」もNEWリリースしたよ。 It is a picture book Works moving friendly for children 3 years old. Read happily Parents and children would feel happy! ""If you have a dream"" site of moving picture book It is a collection of works posted story contest for the first time 3 years old. [Recorded work] ""Good night"" Get used to very gentle feeling is ""good night"". ""Futon Nacchan"" Gentle heart Nacchan, adults, too calm. Please do Nagon with children! ""Nap with everyone"" Stroked mean, you take a nap together. It will be a happy mood I also toe. ""Hakushon itch"" Various ""Hakushon"". Please enjoy reading while saying ""Hakushon"" with your child. You must install the adobe AIR: Note. Please install according to the screen if it is not installed. ※ ""picture book moves a fairy tale for children under 5 years of age"" also was NEW Release.",・各お話の英語版を追加しました。 ・広告を追加しました。
com.TFiveR.mosaicplayer,Mosaic Music Player,TFiveR,tfiverapps@gmail.com,Free,6 November 2014,Music & Audio,2.6M,"100,000 - 500,000",1.24,2.2 and up,Everyone,$2.20,4.1,"1,574",931,282,147,82,132,https://play.google.com/store/apps/details?id=com.TFiveR.mosaicplayer,"Mosaic Player is a set of music players with a powerful library in one app. Free version is limited to 3 playlists and a maximum of 50 songs.No time limit. Player features: * Standalone music players for each playlist.Slide left or right to switch between players with a 3D interface. * The features of the players can be configured separately - or can be shared between them. * Separate equalizer and effects setting for each playlist - or can be shared between them. * Pinch-zoom feature in playlist * Copy-paste songs between playlists * Mark and jump to favorite song positions (especially useful for long mixes) * Configurable single step and continuous seek timers * Fade in / out songs * Sleep timer with configurable fade out time * Shake feature : configurable commands for shake up and shake down. * Scrobbling via Scrobble Droid / Simple last.fm / Official last.fm app * Smooth volume control that works together with android volume button. * AVRCP * Tap the artwork image for quick jump to the song in the library. * Control from notification bar Library features: * Songs can be picked individually from albums, artists, folders and any other lists. * All songs of an artist,album,folder (including sub-folders) can be picked with one step. * Categorize songs by artist,album of artist,albums,genres,folders,all songs,most played,rating,recently added. * All sections of the library (artist view,album view,folder view etc.) can be customized for individual sorting mode. * All sections of the library include filter for quick search. * Customizable layout selection for individual sections of the library : list or grid. * Optional artist / album background image behind the songs. * Shows artwork icons of each songs in lists. * Powerful search feature which displays artists,albums,songs separated by category in one list. * Easy navigation in library : one click jump to artist, album or folder of a song. * Automatically downloads genres, album artwork, artist pictures * Extracts artwork from ID3 tags. * Manually pick artwork images from downloaded cache, internet or gallery app. * Show artist / album information with links to facebook, twitter, youtube videos when available. Permissions: INTERNET: artwork download ACCESS_NETWORK_STATE: detection of connection type WIFI / GSM (downloads can be disabled via GSM) READ_EXTERNAL_STORAGE,WRITE_EXTERNAL_STORAGE : artwork cache storage MODIFY_AUDIO_SETTINGS: enabling effects WAKE_LOCK: requires to keep screen on BILLING: unlock full version via in app payment","1.05 - added home screen widgets 1.2 bugfixes, new cover art downloader, transparent background, improved graphic performance 1.22 fixed occasional out of memory error 1.23 library items are selectable via checkbox instead of long tap 1.24 pause during call fixed"
com.solo12zw74.alarmshortcut,Alarm shortcut,Alexandr Ivanov,solo12zw74@gmail.com,Free,27 November 2013,Tools,8.4k,"100,000 - 500,000",1.2,2.3 - 4.4,Unrated,n/a,4.1,"1,234",831,101,85,66,151,https://play.google.com/store/apps/details?id=com.solo12zw74.alarmshortcut,"In Android 4 I can not set the alarm without open ""Clock"" app. And here is no ability to create an alarm clock shortcut. I did not like it and wrote an utility that opens alarms settings, without entering the ""Clock"" app. Place a shortcut on the desktop, and customize alarms faster! :) Tags: clock, alarm clock, fast access, shortcut, faster","if the application can not run on your device, you will be notified politely rather unexpected stop applications"
com.tabtale.paintprincess,Paint Sparkles:Princess Party!,TabTale,support@TabTale.com,Free,13 April 2014,Casual Creativity,32M,"100,000 - 500,000",1.0.0,2.3 and up,Everyone,$2.30 - $3.99,3.6,"1,016",498,108,110,95,205,https://play.google.com/store/apps/details?id=com.tabtale.paintprincess,"Paint Sparkles is back -- and this time it's princess style! Create with awesome royal colors & tools: Shake your device and see paint-filled fireworks rocket off! More than 120 gorgeous & exciting princesses coloring pages! Customize the colors and use your creativity! Have all the coloring and painting fun you wanted while you decorate beautiful princesses with a stunning array of colors and graphics! Have a blast when you paint each pretty princess however you like! It’s a whole world of creativity, coloring, and rad royals-- there is so much fun to be had! With 20+ vibrant crayon look-alike colors and a whimsical magic coloring tool, every little artist is guaranteed hours of fun fit for any prince or princess! Paint Sparkles: Princess Party includes 6 coloring pages for each girl, and 21 different coloring page styles! Make your painting the crown jewel of them all! Shake your device and little rockets will shoot off and splash paint of random colors all over your drawing! It’s super fun and the rockets are filled with all kinds of paint, so you will never get the same result twice! Choose from an incredible selection of painting tools, like the 3D brush, to create a whole range of different patterns and colors perfect for princesses! Features: > Tap to select a princess to color! > Drag to color in princesses on different coloring pages! > Shake to create an explosion of color and creativity! > Select different colors and tools from a wide selection! What's inside: > 6 coloring pages categories > 120+ vivid coloring pages > 20+ vibrant colors > A magic brush tool > Multiple brush sizes > Area fill bucket > Color choice pallet > Multi-Touch finger coloring which enables a unique painting experience ABOUT TabTale With over 400 million downloads and growing, TabTale has established itself as the creator of pioneering virtual adventures that kids and parents love. We lovingly produce interactive e-books, games, and educational experiences for children. Search “TabTale” on Google Play and discover more incredible apps. Visit us: http://www.tabtale.com/ Google Plus: https://plus.google.com/+Tabtale/posts Like us: http://www.facebook.com/TabTale Follow us:@Tabtale Watch us: http://www.youtube.com/iTabtale CONTACT US Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com. IMPORTANT MESSAGE FOR PARENTS: * This App is free to play but certain in-game items may be purchased for real money. You may restrict in-app purchases by disabling them on your device. * By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at http://tabtale.com/privacy-policy/ and at http://tabtale.com/terms-of-use/ . Please consider that this App may include third parties services for limited legally permissible purposes.",null
jp.meridiani.apps.volumeprofile,Volume Profile for tasker,reczcgo,reczcgo@meridiani.jp,Free,29 December 2015,Tools,425k,"5,000 - 10,000",2.20,4.0 and up,Everyone,n/a,4.1,120,61,27,17,7,8,https://play.google.com/store/apps/details?id=jp.meridiani.apps.volumeprofile,"An Audio Volume Manager. * Edit volume setting, and save as Profile. * Has tasker plugin feature. * Optimized for ics / jerry beans * Sony/SEMC device's ""Sound Level Alert"" hack. Auto-respond ""Caution"" dialog and restore volume. * Volume Lock. * Can toggle ClearAudio+ setting on plugin interface.(For Xperia Only)",2.20 * change profile search logic at tasker action fired.
