domain_name,app_name,developer,email,price,last_update,category,size,number_of_installs,version,compatibility,maturity_rating,app_store_purchases,rating,number_of_ratings,five_star,four_star,three_star,two_star,one_star,link,description,release_text
AppZappy.NIRailAndBus,NI Rail,AppZappy,info@appzappy.co.uk,Free,22 May 2013,Transport,1.5M,"10,000 - 50,000",2.1.4,2.1 and up,Low Maturity,n/a,3.6,268,143,31,6,10,78,https://play.google.com/store/apps/details?id=AppZappy.NIRailAndBus,"NI Rail is the offline train timetable app for Northern Ireland Railways Translink users. We hope this app will help commuters get around Belfast and Northern Ireland with less fuss and hassle. No longer do you need to carry the paper timetable nor constantly look up times online! ********************************* Now supports Multijourney routes! ********************************* This is not an official Translink application, we are in no way affiliated. * Supports multiple trains in a single journey! * Favourite stations and routes on the dashboard! * Delay notifications in app, from Translink's Twitter page * Station page containing all arrivals, links to maps and directions. * Alarm for your train * See were your train should be on the map! (Timetables aren't accurate on special holidays such as Christmas Day, Boxing Day, New Year's Day, St Patrick's Day, Easter weekend, May Day, July Holidays and other public holidays) NI Railways, Northern Ireland Railways, Translink Timetable App, timetables, train times, NIR",Updated to include the new April timetables and fix a few bugs that have cropped up.
HotCocoaGames.nonogram,Nonograms,Hot Cocoa Games,info@hotcocoagames.com,$3.19,7 January 2014,Puzzle,4.7M,"1,000 - 5,000",1.0.1,2.1 and up,Everyone,n/a,3.9,23,8,9,4,0,2,https://play.google.com/store/apps/details?id=HotCocoaGames.nonogram,"Addicted - ★★★★★ (by Giocare) ""Love the simple premise, but how challenging it is to complete a puzzle. Good interface. Many hours of fun await. It's like a crossword without the words."" Addictive - ★★★★★ (by Jigarama) ""This is a great version of nonograms. I have done most of the games like these and this is one of the best controls."" Nonograms is based on the addictive Japanese puzzle game. Much like Sudoku and other such puzzles, the goal in Nonograms is to fill cells in a grid according to the provided hints. Nonograms includes over 10,000 unique, challenging puzzles developed by Atanas Georgiev, founder of puzzle-nonograms.com. These puzzles are what makes this app so great. Unlike other puzzles that are generated randomly, these puzzles use sophisticated algorithm to test for maximum enjoyability. The puzzles included range in size from the simple 5x5 to the challenging 20x20 (Some resolution devices are limited to 5x5 - 15x15. The controls have been designed specifically for Android and are effortless to play. Features: • 10,000 different puzzles designed by the awesome Atanas Georgiev, operator of puzzle-loop.com, ensure that you will never run out of fresh puzzles • Currently played puzzle is always saved so you can resume it at a later time • Beautiful graphics let you play in peace • Turn sounds on and off • Game timer keeps you engaged • Auto-fill feature fills a complete row or column with 'x'. Very useful for larger puzzles. How to play: Nonograms board is a square grid. Each cell on the grid can be either on or off. The top and left edges of the grid contain hint numbers. The hints describe the chain of connected marked cells that appear in the row or column. For example, if the hints for a row is 3 2, it means that the row has three consecutive cells marked, followed by at least on non-marked cell, and the two consecutive marked cells. The puzzle is solved when all the cells are filled-in correctly. Use the 'X' to specify that a particular cell cannot be marked.",Updated device compatibility.
MotivateMe.MotivateMe,Motivate Me to exercise,gray2rgb,admin@gray2rgb.com,Free,26 October 2014,Lifestyle,12M,"100,000 - 500,000",3.1.5,2.3 and up,Everyone,n/a,4.0,"2,247","1,056",582,308,99,202,https://play.google.com/store/apps/details?id=MotivateMe.MotivateMe,"You want to change something in your life, but you don't have enough motivation. Once again you get down to something, but you feel the lack of enthusiasm or inspiration. Do you know this feeling? This app will extract your hidden energy and motivation! perfect for New Year's resolutions With this app you can easily exercise, stop smoking, keep the diet, lose weight or read motivational quotes, and motivational wake up call. Your motivation will increase. All thanks to a short motivating slang or quotes - motivational poster, with an equally motivating pictures. motivation is the most important, motivation is your key to success ! This is your free personal motivator! Do you want to train and be stronger, but always you lack the desire to go to the gym? If you only have good intentions to try and get you the help you finally made ​​the exercise. Now, when you set the appropriate incentives for an hour in which you exercisng, you'll get a motivating image posters with the signature, which strongly encourage you to motivational exercise! Motivational posters or motivational quotes to practice is necessary and we offer it to you ladies! Motivate to lose weight, maintain your diet. Diet is an important part of weight loss. But what about the fact that you structure a proper diet? Diet alone on paper will not help, we'll help you put it into effect. Remind you about your diet, and add the motivations and forces you to be continued! Have some New Year's resolutions - it's for you! If you smoke and want to finally quit the cigarettes, we will help you. Whenever you feel like reach for a cigarette, turn on our application and we will try you by a slogan and image effectively to discourage. Quitting smoking is easier with us! Always looking for the authority which will inspire you in your own words? We will provide you with a new category of motivational quotes, in which we placed a stimulating and motivating quotes by famous people. There are some simple quotes from everyday life, these are merely the most moving and motivating quotes only celebrities. Adjust to them and achieve similar success as they. And, perhaps more. Every morning wakes you a simple melody alarm clock - wake up call? You open your eyes and the only thing want to do is go back to sleep? You wanted to wake up in the morning full of life, motivated to work, exercise, losing weight or quitting smoking or read motivational quotes? You were full of plans for a new day, but as always after waking up run out of strength and motivation? No more! thanks to a new category of wake up call! Wake up call allows you to select your favorite song on the hour, and provide quick and pleasant wake-up calls. He is an excellent role clock. Additionally in the morning wakes you show motivating slogan and image. After reading it you certainly will be happy to wake up and start a new day. You will also find motivational quotes by famous people. So no time to sleep, get up, turn off the alarm clock, read the text and get to life! Release your motivation!","- We've fixed a lot of bugs, but if 'Motivate Me!' doesn't work on your phone, please let us know - we're very grateful for your support."
ShoppingListLight.DE,Shopping List Lite,Michael Meistrowitz,info@meistrowitz.de,Free,20 June 2014,Shopping,3.7M,"50,000 - 100,000",3.1,2.3.3 and up,Everyone,n/a,4.0,399,220,72,38,19,50,https://play.google.com/store/apps/details?id=ShoppingListLight.DE,"Voice Memo makes it easier for anyone to use his smartphone. Use your voice to create entries in your notepad. Quickly and easily capture your thoughts and ideas while Shopping List Voice Memo helps you get more done faster. Free version Features: - Voice recognition - Check items as done - Copy, paste, and edit entries - Various font types and themes - 3 differeten Thmes - Change text style and size - Export and import lists - Text to speech - Reminder function - Sort lists alphabetically - Add entries to your clandar Supported languages: English, Spanish, Russian, Italian, German, French, Polish and Portugese If you got any questions or need help send an email to: mail@meistrowitz.de Or visit: www.meistrowitz.de",3.1: Custom sortation and tablet support added 3.0: Complete Redesign
agaming.seabattle,Sea Battle - Battleships HD,EGProject,goodmodding.pc@gmal.com,$1.16,28 December 2013,Arcade,8.6M,"500 - 1,000",1.01,2.2 and up,Low Maturity,n/a,2.8,4,1,0,1,1,1,https://play.google.com/store/apps/details?id=agaming.seabattle,"★★★ Unique system of sea battle, unused earlier in one game ★★★ ★★★ HD resolution ★★★ Not than not remarkable Earth day, has appeared then fatal for many. Unknown objects have got into the terrestrial atmosphere, near the Hawaiian Islands. In this regard incident, to the area of presumable falling, has sent forces of Naval Forces of the USA and the Navy of Russia. Russian have arrived the first, the last messages received in radio interception, spoke about attack by their unknown alien ships. Then communication has been completely lost. When the squadron of Naval Forces of the USA has approached to a place of falling, there is nothing did not speak about that that here occurred hour before. As suddenly in the distance, seamen have seen hardly appreciable ship which silhouette was not similar to one of created on the earth before the ships. In only a few seconds, the sky it has been covered with an unclear green board. All communication of a squadron has been interrupted. Almost all radar has been put out of action. Chances almost did not remain. The ships of a squadron were destroyed one behind one. And only to one Destroyer has had the luck to survive in this slaughter-house. But on it difficulties you and your team have not ended. Having contacted a staff to you it was ordered to hold the enemy to an approach of the incorporated forces of the USA and Russia. Survival of mankind depends now only on you! • Unique system of sea battle, unused earlier in one game. • Beautiful schedule. Which will help you to feel itself as a part of the ship. • Magnificent sound. • Global table of records If will find problems, don't put please a low rating, let to us know and we will be glad them to correct. Send the message with errors on an e-mail: fonline2012@gmail.com , it will be easier to us to understand in what a problem. Thanks.",* Optimized code * Fixed minor bugs
air.BabeyGirlHouseDecor,Baby House Decor - Girl Games,mGirly,venczim@gmail.com,Free,27 July 2014,Casual,13M,"5,000 - 10,000",1.0.0,2.2 and up,Everyone,n/a,3.8,52,31,4,2,4,11,https://play.google.com/store/apps/details?id=air.BabeyGirlHouseDecor,"Baby House Decor is a girl game for little interior designers like yourself! Get ready to create the most beautiful house by decorating 3 different rooms with furniture of your choice. Match colors, styles or just go wild and let your imagination lead you to the best options to decorate the baby house. Baby House Decor - Girl Games features: - 3 different rooms to decorate - 1 cute baby that will move in after you finish - Beautiful girl games like graphics - 50+ furniture items to decorate your dream house - FREE and SAFE game for kids - Easy to play and have fun! Enjoy this room decoration game and please rate or review so we can make more great girl games for you to play! Thank you!",null
air.ChristmasTreeSong,Christmas Tree Song,MERCURE Communication & Games,mercure-co@live.fr,Free,30 March 2013,Casual,8.6M,"1,000 - 5,000",1.0.0,2.2 and up,Everyone,n/a,3.7,9,5,0,2,0,2,https://play.google.com/store/apps/details?id=air.ChristmasTreeSong,"Jouer de la musique en appuyant sur les boules du sapin de Noël. Un petit programme réalisé pour ma petite fille de 3 ans, qui saura ravir les plus petits. Ma toute première application pour le Store... C'est très rudimentaire, mais c'est assez amusant. Une version plus avancée est en cours. Playing music by pressing the balls of the Christmas tree. A small program made for my little 3 year old daughter, who will delight the little ones. My first application to the Store ... It is very basic, but it's pretty fun. A more advanced version is in progress.",null
air.DragonEmpire,Clash of Spartan,Elex,clashofspartan_help@elex.com,Free,18 December 2014,Action,31M,"1,000,000 - 5,000,000",1.3.17,2.3 and up,Low Maturity,$0.99 - $102.07,4.0,"88,227","52,287","10,921","7,673","4,426","12,920",https://play.google.com/store/apps/details?id=air.DragonEmpire,"Welcome to the Sparta of the world, lead your army expedition now! Clash of Spartan is a war strategy game with super cool functions. Collect Resources, upgrade Buildings, defend your homeland and train your soldiers to vanquish players from the whole world! Lose yourself to Clash of Spartan! Build your homeland or stand up to the fight! Train powerful soldiers such as Viking Warrior, Wizard, Griffin to form your own army, and conquer your enemies to become the most powerful leader in the world. You can join a union to get or give help other people, and gradually promoted to the important role of the league, you can also create your own league, to become a great alliance chief.You can fight from a few million players to the fore, to dominate the world! Note! Clash of Spartan is absolutely free, but some games may need to be paid for. If you do not want to use this feature, please modify settings on your gaming device, disable the purchasing function within an application. In addition, this is also conform to our terms of service and privacy policy. ★Game Features★ *Download for free *Build and upgrade your castle. *Fight with players from all over the world and win trophies. *Create Alliances with other players for support and mutual help. *Command your soldiers, experience epic wars together! ★ ★ game is available in English, Thai, German, French, Spanish, Italian, Dutch, Norwegian, Portuguese, Turkish, Korean, Japanese, Traditional Chinese ★ ★ Attention! This game requires Internet connection Questions? What advice do? We'd love to hear from you! You can send us an email or send in-game feedback. Customer service: dragongamestudio12@gmail.com",What's New (version 1.3.13): 1.Fix a problem of text input.
air.Escapefromtheterriblehouse,Escape from the terrible house,New Lake Dev,hey@newlakedev.com,Free,24 February 2015,Adventure,34M,"100,000 - 500,000",1.0.7,2.2 and up,High Maturity,n/a,3.7,"5,367","2,882",612,504,370,999,https://play.google.com/store/apps/details?id=air.Escapefromtheterriblehouse,"You have to get out of a terrible home. In a terrible house offers ghosts , zombies, bloody corpses , bloody walls and floor. Many were in the house , but no one has yet managed to find a way out of it . Scary sounds , laughter of young children will cause a cold sweat on your body. Will need to collect items to memorize numbers, use items to happen game action . You will scrap with which you can open the door to fight monsters . On the way you will meet people who need to be saved from a terrible , cursed house . Immerse yourself in the dark atmosphere of horror . The game is absolutely free .",- AIR16 - Few new tips for you guys! - API 9+
air.FingerVsAxesAndroid,Finger VS Axes,Brutal Studio,brutalstudiogames@gmail.com,Free,26 January 2015,Action,16M,"100,000 - 500,000",1.0.12,2.2 and up,Medium Maturity,$1.09,4.2,"32,116","20,714","4,922","2,780","1,152","2,548",https://play.google.com/store/apps/details?id=air.FingerVsAxesAndroid,"Finger VS Axes is a free, unique & funny action game where you are the big boss finger. Use your finger to taunt the enemy. Swipe to evade & avoid its attacks. Mmm bash and smash it on rocks when it's time! A fun action game featuring awesome weapon upgrades like a ball & chain, a machine gun turret, and a resistance shield. Play in multiple worlds and levels, with a progression difficulty. A small, fun and original game made to be interactive and entertaining. Axes vs Finger ... Enjoy and rate! What people are saying about our game: ""We really can't emphasize how much swiping you'll be doing."" Android Authority http://bit.ly/1t2PEdW ""Fingers VS Axes is a great time waster, that’s definitely worth a look. Just be careful not to look too foolish in public as you madly swipe your finger across the screen! You should definitely give this game a chance!"" Android Guys http://bit.ly/1ryEmSD ""Being able to just load up a game like Finger VS Axes and just swipe the hell out of things is a lot of fun, and far more satisfying than you might think it is."" Android Headlines http://bit.ly/YkYono * Key game features * ► Use your finger as the boss. ► Swipe to evade & avoid the enemy attacks. ► Smash and bash the enemy when it's time. ► Shake to release its grip. ► Complete multiple levels. ► Fight a powerful tank. ► Free fall into hell. * Optional Features * - Buy cool weapons to use. - Use healing powers. - Share with your friends. August 20 2014 New update: - New pirate costume free of charge - New Chainsaw weapon Enjoy & Follow us Facebook: https://www.facebook.com/brutalstudiogames Google+: https://plus.google.com/108527184837199893581/posts Twitter: twitter.com/brutalarcade",null
